movie_id,title,genre,revenue
M001,Thỏ ơi!,Tâm lý xã hội,51800000.0
M002,Nhà Ba Tôi Một Phòng,Gia đình,23940000.0
M003,Báu vật trời cho,Gia đình,16440000.0
M004,Mùi phở,Gia đình,8660000.0
M005,Mai,Tâm lý,40150000.0
M006,Lật Mặt 8,Hành động,51190000.0
M007,Nhà Bà Nữ,Gia đình,61045000.0
M008,Bố Già,Gia đình,50390000.0
M009,Đất Rừng Phương Nam,Gia đình,47190000.0
M010,Kẻ Ăn Hồn,Kinh dị,34290000.0
M011,Quỷ Cẩu,Kinh dị,26455000.0
M012,Người Vợ Cuối Cùng,Tâm lý,29010000.0
M013,Chị Chị Em Em 2,Tâm lý,17260000.0
M014,Siêu Lừa Gặp Siêu Lầy,Hài hước,30285000.0
M015,Em Và Trịnh,Tiểu sử,23390000.0
M016,Tiệc Trăng Máu,Tâm lý,40260000.0
M017,Hai Phượng,Hành động,49225000.0
M018,Cua Lại Vợ Bầu,Hài hước,35710000.0
M019,Mắt Biếc,Tình cảm,28705000.0
M020,Thiên Thần Hộ Mệnh,Kinh dị,16815000.0
M021,Sharable background access,Kinh dị,17785000.0
M022,Networked attitude-oriented encryption,Tài liệu,10980000.0
M023,Team-oriented zero tolerance functionalities,Kinh dị,9745000.0
M024,Customizable tangible help-desk,Hành động,5590000.0
M025,Progressive client-driven ability,Kinh dị,13600000.0
M026,Right-sized optimal frame,Tâm lý,15535000.0
M027,De-engineered mobile middleware,Hài hước,10050000.0
M028,Progressive 24/7 benchmark,Kinh dị,21290000.0
M029,Multi-layered non-volatile conglomeration,Gia đình,12490000.0
M030,Open-architected content-based leverage,Tình cảm,18285000.0
M031,Extended incremental throughput,Hài hước,25880000.0
M032,Cross-platform full-range system engine,Tình cảm,17105000.0
M033,Advanced incremental installation,Hành động,8380000.0
M034,Innovative demand-driven alliance,Hài hước,17190000.0
M035,Versatile bi-directional ability,Hành động,21905000.0
M036,Extended zero-defect monitoring,Tình cảm,25575000.0
M037,User-friendly encompassing support,Tình cảm,11830000.0
M038,Diverse fresh-thinking access,Hài hước,8880000.0
M039,Enhanced solution-oriented implementation,Kinh dị,13095000.0
M040,Compatible analyzing hierarchy,Hài hước,6070000.0
M041,Visionary intangible instruction set,Tình cảm,9500000.0
M042,Seamless methodical access,Hành động,23840000.0
M043,Decentralized disintermediate alliance,Hài hước,10900000.0
M044,Proactive intermediate forecast,Gia đình,11770000.0
M045,De-engineered hybrid definition,Kinh dị,9395000.0
M046,Avatar: Lửa và Tro Tàn,Viễn tưởng,97810000.0
M047,Tee Yod: Quỷ Ăn Tạng 3,Kinh dị,43335000.0
M048,Tiểu Yêu Quái Núi Lãng Lãng,Hoạt hình,14640000.0
M049,Nụ Hôn Bạc Tỷ,Tình cảm,26760000.0
M050,Yêu Nhầm Bạn Thân,Hài hước,9740000.0
M051,Dune: Hành Tinh Cát - Phần 2,Viễn tưởng,59960000.0
M052,Deadpool & Wolverine,Hành động,66380000.0
M053,Inside Out 2,Hoạt hình,39260000.0
M054,Godzilla x Kong: Đế Chế Mới,Hành động,48790000.0
M055,Kung Fu Panda 4,Hoạt hình,42520000.0
M056,Mickey 17,Viễn tưởng,22480000.0
M057,Người Nhện: Đa Vũ Trụ,Hành động,49080000.0
M058,Oppenheimer,Tiểu sử,21420000.0
M059,Fast & Furious 11,Hành động,30460000.0
M060,Mission: Impossible 8,Hành động,42690000.0
